"","VECTOR","OCCURRENCE_ID","SOURCE_TYPE","LOCATION_TYPE","POLYGON_ADMIN","lat","lon","YEAR","COUNTRY","COUNTRY_ID","GAUL_AD0","STATUS"
"225","Aedes albopictus",225,"unpublished","polygon","2",-27.26,-51.59,"2014","Brazil","BRA",37,NA
"226","Aedes albopictus",226,"unpublished","polygon","2",-27.26,-53.24,"2014","Brazil","BRA",37,NA
"227","Aedes albopictus",227,"unpublished","polygon","2",-27.25,-52.32,"2014","Brazil","BRA",37,NA
"228","Aedes albopictus",228,"unpublished","polygon","2",-27.25,-48.8,"2014","Brazil","BRA",37,NA
"229","Aedes albopictus",229,"unpublished","polygon","2",-27.24,-48.7,"2014","Brazil","BRA",37,NA
"230","Aedes albopictus",230,"unpublished","polygon","2",-27.24,-52.03,"2014","Brazil","BRA",37,NA
"231","Aedes albopictus",231,"unpublished","polygon","2",-27.21,-49.11,"2014","Brazil","BRA",37,NA
"232","Aedes albopictus",232,"unpublished","polygon","2",-27.2,-49.74,"2014","Brazil","BRA",37,NA
"233","Aedes albopictus",233,"unpublished","polygon","2",-27.2,-50.93,"2014","Brazil","BRA",37,NA
"234","Aedes albopictus",234,"unpublished","polygon","2",-27.19,-49.51,"2014","Brazil","BRA",37,NA
"235","Aedes albopictus",235,"unpublished","polygon","2",-27.19,-51.41,"2014","Brazil","BRA",37,NA
"236","Aedes albopictus",236,"unpublished","polygon","2",-27.19,-49.62,"2014","Brazil","BRA",37,NA
"237","Aedes albopictus",237,"unpublished","polygon","2",-27.17,-50.17,"2014","Brazil","BRA",37,NA
"238","Aedes albopictus",238,"unpublished","polygon","2",-27.17,-48.52,"2014","Brazil","BRA",37,NA
"239","Aedes albopictus",239,"unpublished","polygon","2",-27.15,-52.92,"2014","Brazil","BRA",37,NA
"240","Aedes albopictus",240,"unpublished","polygon","2",-27.14,-51.58,"2014","Brazil","BRA",37,NA
"241","Aedes albopictus",241,"unpublished","polygon","2",-27.14,-51.77,"2014","Brazil","BRA",37,NA
"242","Aedes albopictus",242,"unpublished","polygon","2",-27.13,-52.17,"2014","Brazil","BRA",37,NA
"243","Aedes albopictus",243,"unpublished","polygon","2",-27.13,-52.37,"2014","Brazil","BRA",37,NA
"244","Aedes albopictus",244,"unpublished","polygon","2",-27.13,-48.91,"2014","Brazil","BRA",37,NA
"245","Aedes albopictus",245,"unpublished","polygon","2",-27.12,-49.36,"2014","Brazil","BRA",37,NA
"246","Aedes albopictus",246,"unpublished","polygon","2",-27.12,-51.37,"2014","Brazil","BRA",37,NA
"247","Aedes albopictus",247,"unpublished","polygon","2",-27.11,-52.78,"2014","Brazil","BRA",37,NA
"248","Aedes albopictus",248,"unpublished","polygon","2",-27.11,-53.69,"2014","Brazil","BRA",37,NA
"249","Aedes albopictus",249,"unpublished","polygon","2",-27.11,-49.03,"2014","Brazil","BRA",37,NA
"250","Aedes albopictus",250,"unpublished","polygon","2",-27.11,-52.66,"2014","Brazil","BRA",37,NA
"251","Aedes albopictus",251,"unpublished","polygon","2",-27.11,-53.44,"2014","Brazil","BRA",37,NA
"252","Aedes albopictus",252,"unpublished","polygon","2",-27.1,-48.64,"2014","Brazil","BRA",37,NA
"253","Aedes albopictus",253,"unpublished","polygon","2",-27.1,-51.51,"2014","Brazil","BRA",37,NA
"254","Aedes albopictus",254,"unpublished","polygon","2",-27.09,-50.1,"2014","Brazil","BRA",37,NA
"255","Aedes albopictus",255,"unpublished","polygon","2",-27.09,-53.59,"2014","Brazil","BRA",37,NA
